"bg","N","w1","prob","w2"
"a dog",38,"a",1.62632524108132e-05,"dog"
"a dollar",18,"a",7.70364587880624e-06,"dollar"
"a domestic",7,"a",2.99586228620243e-06,"domestic"
"a donation",7,"a",2.99586228620243e-06,"donation"
"a door",11,"a",4.70778359260381e-06,"door"
"a dope",5,"a",2.13990163300173e-06,"dope"
"a double",37,"a",1.58352720842128e-05,"double"
"a doubt",7,"a",2.99586228620243e-06,"doubt"
"a douche",6,"a",2.56788195960208e-06,"douche"
"a downtown",8,"a",3.42384261280277e-06,"downtown"
"a dozen",44,"a",1.88311343704153e-05,"dozen"
"a draft",12,"a",5.13576391920416e-06,"draft"
"a drag",7,"a",2.99586228620243e-06,"drag"
"a drama",7,"a",2.99586228620243e-06,"drama"
"a dramatic",10,"a",4.27980326600347e-06,"dramatic"
"a dream",60,"a",2.56788195960208e-05,"dream"
"a dress",15,"a",6.4197048990052e-06,"dress"
"a drink",34,"a",1.45513311044118e-05,"drink"
"a drive",13,"a",5.56374424580451e-06,"drive"
"a driver",6,"a",2.56788195960208e-06,"driver"
"a driving",11,"a",4.70778359260381e-06,"driving"
"a drop",14,"a",5.99172457240486e-06,"drop"
"a drug",16,"a",6.84768522560555e-06,"drug"
"a drunken",8,"a",3.42384261280277e-06,"drunken"
"a dry",13,"a",5.56374424580451e-06,"dry"
"a dude",11,"a",4.70778359260381e-06,"dude"
"a dull",5,"a",2.13990163300173e-06,"dull"
"a dumb",8,"a",3.42384261280277e-06,"dumb"
"a duty",5,"a",2.13990163300173e-06,"duty"
"a dynamic",7,"a",2.99586228620243e-06,"dynamic"
"a era",23,"a",9.84354751180798e-06,"era"
"a european",7,"a",2.99586228620243e-06,"european"
"a fab",5,"a",2.13990163300173e-06,"fab"
"a fabulous",29,"a",1.24114294714101e-05,"fabulous"
"a face",17,"a",7.2756655522059e-06,"face"
"a facebook",17,"a",7.2756655522059e-06,"facebook"
"a fact",22,"a",9.41556718520763e-06,"fact"
"a factor",19,"a",8.13162620540659e-06,"factor"
"a failure",10,"a",4.27980326600347e-06,"failure"
"a fair",32,"a",1.36953704512111e-05,"fair"
"a fairly",15,"a",6.4197048990052e-06,"fairly"
"a fake",11,"a",4.70778359260381e-06,"fake"
"a fall",5,"a",2.13990163300173e-06,"fall"
"a false",10,"a",4.27980326600347e-06,"false"
"a familiar",10,"a",4.27980326600347e-06,"familiar"
"a family",99,"a",4.23700523334343e-05,"family"
"a famous",6,"a",2.56788195960208e-06,"famous"
"a fan",69,"a",2.95306425354239e-05,"fan"
"a fancy",12,"a",5.13576391920416e-06,"fancy"
"a fantastic",37,"a",1.58352720842128e-05,"fantastic"
"a fantasy",15,"a",6.4197048990052e-06,"fantasy"
"a far",19,"a",8.13162620540659e-06,"far"
"a farm",7,"a",2.99586228620243e-06,"farm"
"a fascinating",5,"a",2.13990163300173e-06,"fascinating"
"a fashion",12,"a",5.13576391920416e-06,"fashion"
"a fast",16,"a",6.84768522560555e-06,"fast"
"a fat",13,"a",5.56374424580451e-06,"fat"
"a father",11,"a",4.70778359260381e-06,"father"
"a fault",5,"a",2.13990163300173e-06,"fault"
"a favor",13,"a",5.56374424580451e-06,"favor"
"a favorite",26,"a",1.1127488491609e-05,"favorite"
"a fear",5,"a",2.13990163300173e-06,"fear"
"a feather",6,"a",2.56788195960208e-06,"feather"
"a feature",14,"a",5.99172457240486e-06,"feature"
"a federal",41,"a",1.75471933906142e-05,"federal"
"a fee",8,"a",3.42384261280277e-06,"fee"
"a feeling",33,"a",1.41233507778114e-05,"feeling"
"a fellow",26,"a",1.1127488491609e-05,"fellow"
"a felony",8,"a",3.42384261280277e-06,"felony"
"a female",18,"a",7.70364587880624e-06,"female"
